a	dc	tau	vel
0.039626910608331706	0.14	13.337491551244973	1e-09
0.04	0.14	13.273061295875205	1e-09
0.03962688194163823	0.14	13.337496501807552	1e-09
0.004	0.14	19.490041046956165	1e-09
0.04	0.14	13.273061295875205	1e-09
0.04	0.14	13.273061295875205	1e-09
0.03443074633970934	0.14	14.234837330168833	1e-09
0.004	0.14	19.490041046956165	1e-09
0.004	0.14	19.490041046956165	1e-09
0.004	0.14	19.490041046956165	1e-09
0.02403845260294417	0.14	16.029522878190644	1e-09
0.04	0.14	13.273061295875205	1e-09
0.04	0.14	13.273061295875205	1e-09
0.04	0.14	13.273061295875205	1e-09
0.04	0.14	13.273061295875205	1e-09
0.04	0.14	13.273061295875205	1e-09
